タイトル,bSP,BSP,DSP,ESP,CSP,BDP,DDP,EDP,CDP
Happy Wedding,3,4,6,10,-,5,6,9,-
Haunted Rhapsody,2,5,7,13,-,4,7,13,-
HAVE YOU NEVER BEEN MELLOW (20th Anniversary Mix),2,4,6,10,-,4,6,10,-
Healing-D-Vision,6,9,12,14,18,9,13,15,18
Healing Vision,4,5,7,11,-,4,8,13,-
Healing Vision(X-Special),-,-,-,-,14,-,-,-,15
Healing Vision ～Angelic mix～,5,7,11,13,-,8,10,14,-
HEART BEAT FORMULA,4,7,10,13,-,7,10,13,-
HEART BEAT FORMULA (Vinyl Mix),4,8,11,13,-,8,11,14,-
HEARTBREAK (Sound Selektaz remix),1,4,6,10,-,4,6,11,-
Heatstroke,2,6,8,10,8,6,8,10,8
Heaven is a '57 metallic gray ～gimmix～,4,5,7,12,-,5,7,13,-
Helios,4,8,12,15,-,8,12,15,-
"Help me, ERINNNNNN!!",4,5,9,12,-,6,9,12,-
heron,3,6,9,12,13,6,9,12,13
High School Love,3,6,10,13,-,6,10,13,-
HIGHER,3,4,7,9,-,4,7,10,-
HIGHER(next morning mix),-,-,-,-,11,-,-,-,11
Hillbilly Shoes,3,5,8,13,-,5,8,13,-
Holic,4,7,9,11,-,7,8,11,-
Hopeful,2,5,10,13,-,5,10,13,-
Hoping To Be Good,2,5,7,12,-,5,7,11,-
Horatio,3,4,9,15,15,5,8,14,14
HYENA,3,6,10,14,-,6,10,14,-
HYPER EUROBEAT,3,4,6,10,-,6,9,11,-
HYSTERIA,5,6,8,11,-,4,8,10,-
HYSTERIA 2001,-,-,-,-,10,-,-,-,11
i feel ...,3,4,8,12,-,3,8,12,-
I Need You,3,4,6,8,-,5,6,8,-
I Want You To Know,1,3,8,11,-,3,8,11,-
I/O,2,4,7,11,-,4,7,12,-
Idola,3,8,12,16,17,8,12,16,17
iFUTURELIST(DDR VERSION),3,5,7,12,13,5,7,11,13
Illegal Function Call,4,10,13,16,-,10,14,16,-
I'm gonna get you!,3,4,7,9,-,4,7,11,-
I'm so Happy,3,6,8,12,16,6,8,12,16
IMANOGUILTS,4,8,11,14,15,8,11,14,15
IN BETWEEN,4,7,12,15,-,7,12,15,-
in love wit you,1,3,6,8,-,4,6,9,-
In The Air,4,6,9,11,-,6,10,11,-
In The Breeze,3,5,9,11,-,5,9,12,-
IN THE ZONE,1,4,7,9,-,5,8,10,-
INNOCENCE OF SILENCE,3,5,10,12,-,5,9,12,-
INSERTiON,4,6,9,13,-,5,9,12,-
INSIDE YOUR HEART,3,4,6,9,-,3,6,9,-
Inspiration,3,5,7,8,-,4,6,9,-
INTO YOUR HEART (Ruffage remix),3,4,8,11,-,5,8,11,-
invisible rain,2,4,7,11,-,4,7,11,-
Ishtar,3,5,11,14,16,5,11,14,16
Jam & Marmalade,3,4,8,11,-,5,8,10,-
jane jana,3,4,7,10,-,6,7,11,-
JET WORLD,3,4,7,11,-,5,8,11,-
Jewelry days,3,6,9,12,-,6,9,12,-
JOKER,2,4,8,11,14,6,8,11,14
JOMANDA,4,8,12,15,17,8,12,15,17
KEEP ON MOVIN',4,5,7,9,-,5,9,10,-
KEEP ON MOVIN' ～DMX MIX～,3,5,7,11,-,4,8,12,-
KHAMEN BREAK,3,7,11,16,-,7,11,15,-
KIMONO♥PRINCESS,5,8,12,15,-,8,13,16,-
KISS KISS KISS,4,5,6,12,-,5,8,12,-
KISS KISS KISS 秋葉工房 MIX,2,5,8,12,-,4,8,12,-
Kiss me all night long,3,3,6,10,-,3,6,11,-
LA BAMBA,3,4,8,11,-,4,8,10,-
La Bamba,3,4,8,11,-,4,8,10,-
La libertad,3,5,9,12,14,6,9,12,14
La receta,3,4,7,11,13,5,7,11,13
La Señorita,4,6,8,10,-,5,9,13,-
La Señorita Virtual,4,8,10,12,-,9,10,12,-
L'amour et la liberté(Darwin & DJ Silver remix),3,4,7,11,-,4,7,12,-
L'amour et la liberté(DDR Ver.),3,6,9,12,-,6,9,12,-
LEADING CYBER,3,8,9,13,-,7,10,13,-
Leaving…,2,5,8,11,13,5,8,11,13
